DATE,MONTH,YEAR,DRIVER,GENDER,TYPE,CITY,PRICE,PAYMENT,START TIME,END TIME,HOUR,CAR,MILES,TRIP TIME
4/9/2013,4,2013,Khawar,m,UberBLACK,Washington D.C.,$64.00 ,2802,2:27 PM,3:33 PM,14,BLACK CAR,13.54,0:37:56
4/10/2013,4,2013,Jose,m,UberBLACK,New York City,$10.00 ,2802,6:06 AM,,6,BLACK CAR,0.00,0:00:00
4/14/2013,4,2013,abdurrahman (KAPLAN),m,BLACK,San Francisco,$10.00 ,2802,4:47 AM,,4,BLACK CAR,0.00,0:00:00
4/14/2013,4,2013,Owdi,m,uberX,San Francisco,,2802,4:46 AM,,4,uberX,0.00,0:00:00
6/22/2013,6,2013,Hany,m,BLACK,San Francisco,$15.00 ,4977,8:34 PM,8:46 PM,20,BLACK CAR,0.70,0:04:34
6/23/2013,6,2013,ILKIN,m,BLACK,San Francisco,$29.00 ,4977,2:24 AM,2:37 AM,2,BLACK CAR,1.65,0:11:14
6/26/2013,6,2013,LUIZ,m,BLACK,San Francisco,$38.00 ,4977,8:48 AM,9:31 AM,8,BLACK CAR,3.92,0:25:26
6/26/2013,6,2013,-,m,TAXI,San Francisco,,4977,8:47 AM,Dropoff time unknown,8,,,
7/12/2013,7,2013,Marco,m,uberX,San Francisco,$10.00 ,4977,9:29 PM,9:50 PM,21,uberX,1.04,0:04:40
7/21/2013,7,2013,Mashhour,m,,San Francisco,$38.00 ,4977,3:03 PM,3:21 PM,15,BLACK CAR,7.43,0:10:18
7/30/2013,7,2013,Joe,m,,San Francisco,$115.00 ,4977,1:49 PM,2:36 PM,13,BLACK CAR,26.00,0:33:06
8/15/2013,8,2013,Wahdat,m,uberX,New York City,,4977,8:20 PM,,20,uberX,0.00,0:00:00
8/15/2013,8,2013,-,m,Yellow,New York City,,4977,7:25 PM,Dropoff time unknown,19,,,
8/17/2013,8,2013,MALIK,m,uberX,San Francisco,$19.00 ,4977,9:26 PM,9:50 PM,21,uberX,4.05,0:19:59
8/18/2013,8,2013,Yousef,m,SUV,San Francisco,$25.00 ,4977,12:23 AM,12:33 AM,0,SUV,0.28,0:03:27
8/21/2013,8,2013,Najib,m,,San Francisco,,4977,8:54 PM,,20,BLACK CAR,0.00,0:00:00
8/21/2013,8,2013,Najib,m,,San Francisco,$17.00 ,4977,8:55 PM,9:12 PM,20,BLACK CAR,1.63,0:07:48
9/7/2013,9,2013,Dejene,m,uberX,San Francisco,$8.00 ,4977,6:33 PM,7:04 PM,18,uberX,1.01,0:08:22
9/8/2013,9,2013,Burenbayaer,m,uberX,San Francisco,$5.00 ,4977,1:21 AM,,1,uberX,0.00,0:00:00
9/13/2013,9,2013,Osama,m,TAXI,San Francisco,$7.80 ,4977,10:35 PM,10:49 PM,22,TAXI,1.08,0:05:12
9/14/2013,9,2013,Paul,m,uberX,San Francisco,,4977,1:48 AM,,1,uberX,0.00,0:00:00
9/14/2013,9,2013,Ion,m,uberX,San Francisco,$12.00 ,4977,1:50 AM,1:59 AM,1,uberX,0.80,0:04:42
10/5/2013,10,2013,Ali,m,SUV,San Francisco,$10.00 ,4977,8:09 PM,,20,SUV,0.00,0:00:00
10/5/2013,10,2013,Naidan,m,SUV,San Francisco,$10.00 ,4977,7:48 PM,,19,SUV,0.00,0:00:00
